,Brand,Model,Version,Price,Modèle,Main,Kilométrage,Carburant,Transmision,Puissance fiscale,Couleur extérieure,Etat du véhicule,Climatisation,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Caméra de recul,Bluetooth,Jantes aluminium,Volant cuir,Feux de jour,Barres de toit,Toit,Airbags,ABS,ESP,Antipatinage,Architecture,Cylindrée,Conso. ville,Conso. route,Vitesse maxi.,Volume du réservoir,Puissance fiscale-binned
0,MERCEDES,Classe C 2014,220 d,228000.0,2014.0,Seconde,144500.0,Diesel,Automatique,8,Gris foncé,Très bon,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
1,MERCEDES,Classe C 2003,220 CDI,79000.0,2003.0,Seconde,350000.0,Diesel,Manuelle,8,Noir,Très bon,auto.,Electrique AV/AR,Tous les passagers,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
2,MERCEDES,Classe B 2013,180 d Urban,150000.0,2013.0,Seconde,144000.0,Diesel,Manuelle,8,Noir,Comme neuve,manuelle,Electrique AV/AR,non,oui,non,oui,oui,oui,oui,non,non,non,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
3,MERCEDES,Classe E 2006,Autre version,135000.0,2006.0,Seconde,248000.0,Diesel,Automatique,9,Gris clair,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,non,oui,oui,oui,non,non,oui,oui,non,oui,oui,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
4,MERCEDES,CLA Coupé 2014,220 CDI,240000.0,2014.0,Seconde,103000.0,Diesel,Automatique,9,Blanc cassé,Excellent,auto.,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,non,oui,non,oui,non,oui,oui,oui,non,oui,non,Panoramique,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
5,MERCEDES,Classe E 2010,250 CDI BlueEfficiency Classic,150000.0,2010.0,Seconde,169950.0,Diesel,Automatique,9,Gris,Très bon,auto. Bi-zone,Electrique AV/AR,Conducteur,oui,non,oui,oui,oui,oui,non,oui,oui,non,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
6,MERCEDES,Classe E 2016,220 d DCT Luxury,580000.0,2016.0,Seconde,18000.0,Diesel,Automatique,8,Noir,Comme neuve,auto. Multi-zone,Electrique AV/AR,Tous les passagers,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
7,MERCEDES,Classe C 2013,200 d Avantgarde +,228000.0,2013.0,Première,155000.0,Diesel,Automatique,9,Gris,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
8,MERCEDES,GLA 2017,200 d Urban,290000.0,2017.0,Première,67271.0,Diesel,Automatique,9,Noir,Comme neuve,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
9,MERCEDES,CLA Coupé 2014,200 CDI,240000.0,2014.0,Seconde,87000.0,Diesel,Manuelle,6,Blanc,Très bon,auto.,Electrique AV/AR,non,oui,non,oui,oui,non,oui,non,non,oui,oui,non,oui,oui,oui,non,non,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
10,MERCEDES,Classe C 2005,220 CDI Bluetec Exclusive,130000.0,2005.0,Seconde,255000.0,Diesel,Automatique,9,Gris,Excellent,auto.,Electrique AV/AR,non,non,non,oui,oui,oui,non,non,oui,oui,oui,non,oui,oui,oui,non,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
11,MERCEDES,GLE 2017,250 d 4MATIC Luxury,700000.0,2017.0,Première,48653.0,Diesel,Automatique,12,Blanc,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
12,MERCEDES,CLS Coupé 2013,63 AMG,290000.0,2013.0,Seconde,97911.0,Diesel,Automatique,9,Noir,Excellent,auto. Bi-zone,Electrique AV/AR,non,oui,non,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
13,MERCEDES,CLK 2005,280 Coupé Elegance,65000.0,2005.0,Seconde,220000.0,Diesel,Manuelle,11,Gris clair,Excellent,auto.,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,non,oui,non,non,oui,non,non,oui,non,non,non,Ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
14,MERCEDES,Classe C 2000,220 CDI,60000.0,2000.0,Première,30000.0,Diesel,Manuelle,8,Bleu foncé,Bon,manuelle,Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,oui,non,non,non,Rigide,oui,oui,oui,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
15,MERCEDES,Classe E 2018,220 d DCT AMG line,653000.0,2018.0,Seconde,48000.0,Diesel,Automatique,8,Noir,Excellent,auto. Tri-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
16,MERCEDES,GLC Coupé 2020,220 d 4MATIC AMG line,650000.0,2020.0,Première,0.0,Diesel,Automatique,10,-,-,non,-,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
